"Isolation and characterization of Escherichia coli pili from diverse clinical sources.";"Infect Immun";1983
"Human Prk is a conserved protein serine/threonine kinase involved in regulating M phase functions.";"J Biol Chem";1997
"The role of CDC28 and cyclins during mitosis in the budding yeast S. cerevisiae.";"Cell";1991
"Transcriptional activation of a pap pilus virulence operon from uropathogenic Escherichia coli.";"EMBO J";1985
"Molecular genetic analysis of Rts1p, a B' regulatory subunit of Saccharomyces cerevisiae protein phosphatase 2A.";"Mol Cell Biol";1997
"Potential role of phase variation of type 1 pili in urinary tract infection. and bacterial prostatitis.";"Infection";1991
"Cell cycle arrest of a Caulobacter crescentus secA mutant.";"J Bacteriol";1994
"Hsl7p, a negative regulator of Ste20p protein kinase in the Saccharomyces cerevisiae filamentous growth-signaling pathway.";"Proc Natl Acad Sci U S A";1999
"Isolation and characterization of new alleles of the cyclin-dependent kinase gene CDC28 with cyclin-specific functional and biochemical defects.";"Mol Cell Biol";1998
"The transcription factor Swi5 regulates expression of the cyclin kinase inhibitor p40SIC1.";"Mol Cell Biol";1996
"Use of immunofluorescence, Gram's staining, histologic examination, and seroagglutination in the diagnosis of porcine colibacillosis.";"Am J Vet Res";1983
"Further characterization of a size control gene in Saccharomyces cerevisiae.";"J Cell Sci Suppl";1989
"The yeast cell cycle: positive and negative controls.";"Microbiologia";1994
"Conserved structural motifs in cyclins identified by sequence analysis.";"J Cell Sci";1991
"Genetic organization and biogenesis of adhesive fimbriae of Escherichia coli.";"Antonie Van Leeuwenhoek";1988
"The amino terminus of Cdk2 binds p21.";"Oncol Res";1996
"Hemagglutination and colonization factors in enterotoxigenic and enteropathogenic Escherichia coli that cause diarrhea.";"J Infect Dis";1980
"PapD-like chaperones and pilus biogenesis.";"Semin Cell Dev Biol";2000
"The glyceraldehyde-3-phosphate dehydrogenase binds in vitro to the SH3 domain of Saccharomyces cerevisiae Cdc25p.";"C R Acad Sci III";1995
"Properties of the SDC25 C-domain, a GDP to GTP exchange factor of RAS proteins and in vitro modulation of adenylyl cyclase.";"J Biol Chem";1993
"Replication and integration of a Vibrio cholerae cryptic plasmid linked to the CTX prophage.";"Mol Microbiol";1998
"Regulatory function of the Saccharomyces cerevisiae RAS C-terminus.";"Mol Cell Biol";1987
"The PapG adhesin of uropathogenic Escherichia coli contains separate regions for receptor binding and for the incorporation into the pilus.";"Proc Natl Acad Sci U S A";1989
"The role of Saccharomyces cerevisiae type 2A phosphatase in the actin cytoskeleton and in entry into mitosis.";"EMBO J";1995
"Prevalence of K88, K99, and 987P pili of Escherichia coli in neonatal pigs with enteric colibacillosis.";"Am J Vet Res";1986
"Conjugation systems of IncT plasmids.";"J Gen Microbiol";1985
"MSI1, a negative regulator of the RAS-cAMP pathway in Saccharomyces cerevisiae.";"Proc Natl Acad Sci U S A";1989
"Glycoproteins of natural origin with an affinity for hepatitis B surface antigen.";"Infect Immun";1978
"Cdc25p, the guanine nucleotide exchange factor for the Ras proteins of Saccharomyces cerevisiae, promotes exchange by stabilizing Ras in a nucleotide-free state.";"J Biol Chem";1994
"An environmentally regulated pilus-like appendage involved in Campylobacter pathogenesis.";"Mol Microbiol";1996
"Interaction between yeast Cdc6 protein and B-type cyclin/Cdc28 kinases.";"Mol Biol Cell";1996
"The localization of the antibody response in milk or bile depends on the nature of the antigen.";"J Immunol";1987
"A pathway in the yeast cell division cycle linking protein kinase C (Pkc1) to activation of Cdc28 at START.";"EMBO J";1996
"Heat-inducible degron: a method for constructing temperature-sensitive mutants.";"Science";1994
"Trichomonas vaginalis and early evolving DNA and protein sequences of the CDC2/28 protein kinase family.";"Mol Microbiol";1993
